Calculating prime numbers in Circuitpython 8.2.8 v5.0.2023
2023/12/05
lilygo_ttgo_t8_s2_st7789 with 240 MHz

    last       time in seconds    
          100         0.010998    
        1,000         0.129997    
       10,000         0.643997     
      100,000         7.45700      
    1,000,000       111.1430      
   10,000,000      1806.580     
   25,000,000      5681.08     
  100,000,000     33704.9        
1,000,000,000    717227.0                    
              8 days 7 hours 14 min

